t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s,vesc_time_s,vesc_power_W,vesc_current_motor_A,vesc_current_in_A,vesc_voltage_in_V,vesc_erpm,vesc_temp_mosfet_C,vesc_temp_motor_C,vesc_duty_cycle_pct,rpm_mech
0.05,0.439,-22.82,0.072282,0.0,0.1,15.297,2.42,0.1,0.38,24.2,31540.0,30.5,-78.9,39.6,4506.0
0.15,0.486,-21.16,0.087504,0.1,0.2,15.392,2.64,0.11,0.41,24.0,31718.0,30.5,-83.5,39.8,4531.0
0.25,0.468,-20.01,0.099899,0.2,0.3,15.489,3.133,0.13,0.44,24.1,31898.0,30.5,-84.6,40.0,4557.0
0.35,0.522,-20.89,0.090301,0.3,0.4,15.579,5.302,0.22,0.72,24.1,31944.0,30.5,-81.0,40.3,4563.0
0.45,0.498,-20.66,0.092657,0.4,0.5,15.688,0.726,0.03,0.09,24.2,32256.0,30.5,-77.8,40.5,4608.0
0.55,0.574,-21.9,0.080327,0.5,0.6,15.78,-0.241,-0.01,-0.01,24.1,32472.0,30.5,-77.3,40.9,4639.0
0.65,0.517,-22.63,0.073888,0.6,0.7,15.889,10.363,0.43,1.24,24.1,32636.0,30.5,-76.7,41.2,4662.0
0.75,0.619,-22.78,0.072641,0.7,0.8,15.985,6.025,0.25,0.82,24.1,32862.0,30.5,-75.4,41.5,4695.0
0.85,0.525,-21.58,0.08338,0.8,0.9,16.079,6.266,0.26,0.82,24.1,33085.0,30.5,-74.8,41.7,4726.0
0.95,0.471,-21.43,0.08478,0.9,1.0,16.176,4.356,0.18,0.62,24.2,33309.0,30.6,-74.8,42.1,4758.0
1.05,0.519,-21.87,0.080594,1.0,1.1,16.299,0.241,0.01,0.04,24.1,33412.0,30.6,-79.5,41.8,4773.0
1.15,0.547,-22.63,0.073858,1.1,1.2,16.399,0.482,0.02,0.1,24.1,33614.0,30.6,-80.4,42.1,4802.0
1.25,0.542,-22.14,0.078153,1.2,1.3,16.489,0.24,0.01,0.05,24.0,33851.0,30.5,-77.7,42.5,4836.0
1.35,0.56,-21.4,0.085117,1.3,1.4,16.579,0.242,0.01,0.05,24.2,34050.0,30.5,-76.5,42.7,4864.0
1.45,0.524,-21.07,0.088451,1.4,1.5,16.674,0.241,0.01,0.05,24.1,34229.0,30.5,-75.3,42.9,4890.0
1.55,0.452,-19.89,0.10128,1.5,1.6,16.799,3.133,0.13,0.39,24.1,34535.0,30.6,-77.7,43.5,4934.0
1.65,0.766,-18.85,0.114098,1.6,1.7,16.897,2.651,0.11,0.32,24.1,34761.0,30.7,-83.5,43.6,4966.0
1.75,0.781,-18.45,0.119574,1.7,1.8,16.989,3.133,0.13,0.41,24.1,34917.0,30.5,-79.8,44.0,4988.0
1.85,0.531,-18.66,0.116681,1.8,1.9,17.08,3.615,0.15,0.46,24.1,35003.0,30.6,-78.9,44.0,5000.0
1.95,0.601,-17.68,0.130689,1.9,2.0,17.188,0.964,0.04,0.1,24.1,35229.0,30.6,-78.2,44.2,5033.0
2.05,0.807,-18.19,0.123151,2.0,2.1,17.28,0.241,0.01,0.08,24.1,35431.0,30.6,-78.0,44.5,5062.0
2.15,0.532,-19.84,0.101829,2.1,2.2,17.39,8.194,0.34,1.02,24.1,35663.0,30.6,-82.4,44.9,5095.0
2.25,0.599,-21.14,0.087671,2.2,2.3,17.488,4.338,0.18,0.55,24.1,35923.0,30.7,-83.3,45.2,5132.0
2.35,0.584,-22.94,0.071268,2.3,2.4,17.58,7.953,0.33,0.94,24.1,36094.0,30.7,-84.0,45.4,5156.0
2.45,0.638,-23.39,0.067693,2.4,2.5,17.679,5.324,0.22,0.66,24.2,36288.0,30.6,-85.2,45.8,5184.0
2.55,0.65,-21.71,0.082109,2.5,2.6,17.799,0.0,0.0,0.01,24.1,36410.0,30.6,-80.9,45.7,5201.0
2.65,0.607,-21.15,0.087566,2.6,2.7,17.898,0.241,0.01,0.08,24.1,36625.0,30.6,-81.5,46.0,5232.0
2.75,0.649,-19.74,0.103056,2.7,2.8,17.984,0.482,0.02,0.07,24.1,36859.0,30.6,-82.6,46.3,5266.0
2.85,0.707,-19.64,0.104246,2.8,2.9,18.08,0.241,0.01,0.05,24.1,37061.0,30.7,-83.2,46.6,5294.0
2.95,0.874,-20.51,0.094337,2.9,3.0,18.177,0.0,0.0,0.01,24.1,37261.0,30.6,-80.5,46.9,5323.0
3.05,0.65,-17.33,0.135966,3.0,3.1,18.298,3.374,0.14,0.42,24.1,37522.0,30.7,-82.5,47.3,5360.0
3.15,0.549,-16.98,0.14161,3.1,3.2,18.391,2.662,0.11,0.37,24.2,37735.0,30.6,-83.1,47.6,5391.0
3.25,0.636,-18.64,0.116982,3.2,3.3,18.489,3.63,0.15,0.43,24.2,37915.0,30.6,-80.4,47.7,5416.0
3.35,0.664,-19.07,0.111307,3.3,3.4,18.579,5.082,0.21,0.58,24.2,37978.0,30.7,-79.5,47.9,5425.0
3.45,0.793,-20.12,0.098678,3.4,3.5,18.688,0.484,0.02,0.05,24.2,38223.0,30.6,-78.4,48.0,5460.0
3.55,0.628,-20.83,0.090914,3.5,3.6,18.785,0.241,0.01,0.03,24.1,38458.0,30.6,-78.3,48.5,5494.0
3.65,0.637,-21.27,0.086421,3.6,3.7,18.889,8.712,0.36,0.97,24.2,38678.0,30.7,-80.9,48.7,5525.0
3.75,0.688,-21.53,0.083863,3.7,3.8,18.989,4.08,0.17,0.47,24.0,38922.0,30.7,-83.2,49.2,5560.0
3.85,0.598,-22.29,0.076785,3.8,3.9,19.078,12.05,0.5,1.26,24.1,39053.0,30.6,-84.1,49.2,5579.0
3.95,0.691,-22.05,0.078969,3.9,4.0,19.18,4.114,0.17,0.43,24.2,39330.0,30.6,-80.7,49.6,5619.0
4.05,0.698,-22.68,0.073468,4.0,4.1,19.297,0.0,0.0,0.04,24.2,39442.0,30.7,-78.1,49.5,5635.0
4.15,0.714,-21.46,0.084498,4.1,4.2,19.393,0.484,0.02,0.06,24.2,39616.0,30.7,-82.3,49.8,5659.0
4.25,0.808,-23.29,0.068472,4.2,4.3,19.488,0.243,0.01,0.05,24.3,39829.0,30.7,-82.9,50.1,5690.0
4.35,0.779,-23.17,0.069447,4.3,4.4,19.579,0.241,0.01,0.03,24.1,40060.0,30.8,-84.6,50.5,5723.0
4.45,0.804,-21.93,0.080121,4.4,4.5,19.68,0.0,0.0,0.03,24.1,40255.0,30.7,-85.2,50.6,5751.0
4.55,0.885,-21.5,0.084183,4.5,4.6,19.799,3.6,0.15,0.45,24.0,40511.0,30.8,-85.8,51.0,5787.0
4.65,0.897,-21.87,0.08065,4.6,4.7,19.889,4.097,0.17,0.45,24.1,40698.0,30.8,-87.1,51.3,5814.0
4.75,0.775,-21.02,0.088883,4.7,4.8,19.985,4.097,0.17,0.45,24.1,40913.0,30.7,-87.2,51.6,5845.0
4.85,0.866,-20.53,0.094077,4.8,4.9,20.08,4.82,0.2,0.48,24.1,40983.0,30.7,-81.2,51.5,5855.0
4.95,0.798,-20.8,0.091173,4.9,5.0,20.188,0.723,0.03,0.09,24.1,41227.0,30.7,-79.0,51.8,5890.0
5.05,0.705,-22.28,0.076877,5.0,5.1,20.288,0.48,0.02,0.07,24.0,41459.0,30.7,-78.5,52.2,5923.0
5.15,0.706,-22.65,0.073746,5.1,5.2,20.378,0.0,0.0,0.03,24.1,41633.0,30.7,-78.3,52.3,5948.0
5.25,1.012,-22.12,0.078336,5.2,5.3,20.489,6.24,0.26,0.66,24.0,41878.0,30.7,-78.5,52.9,5983.0
5.35,0.82,-20.83,0.090851,5.3,5.4,20.579,12.532,0.52,1.32,24.1,42059.0,30.7,-78.1,53.0,6008.0
5.45,0.889,-20.22,0.097495,5.4,5.5,20.673,7.712,0.32,0.82,24.1,42281.0,30.7,-78.4,53.4,6040.0
5.55,0.809,-19.4,0.107194,5.5,5.6,20.8,0.482,0.02,0.07,24.1,42407.0,30.7,-77.7,53.1,6058.0
5.65,0.916,-19.59,0.104879,5.6,5.7,20.897,0.242,0.01,0.08,24.2,42597.0,30.8,-81.7,53.6,6085.0
5.75,0.762,-19.27,0.10876,5.7,5.8,20.989,0.484,0.02,0.07,24.2,42830.0,30.7,-82.5,53.9,6119.0
5.85,1.014,-19.28,0.108625,5.8,5.9,21.08,0.241,0.01,0.05,24.1,43026.0,30.7,-82.8,54.1,6147.0
5.95,0.787,-19.23,0.109231,5.9,6.0,21.176,0.242,0.01,0.06,24.2,43203.0,30.7,-78.1,54.3,6172.0
6.05,1.001,-20.1,0.098809,6.0,6.1,21.297,4.8,0.2,0.49,24.0,43508.0,30.8,-82.1,54.9,6215.0
6.15,0.989,-19.37,0.107564,6.1,6.2,21.393,3.856,0.16,0.39,24.1,43725.0,30.7,-78.6,55.1,6246.0
6.25,1.08,-19.44,0.106651,6.2,6.3,21.489,4.114,0.17,0.42,24.2,43907.0,30.8,-77.9,55.4,6272.0
6.35,1.022,-20.45,0.095003,6.3,6.4,21.578,7.986,0.33,0.79,24.2,43950.0,30.8,-79.2,55.5,6279.0
6.45,0.961,-19.78,0.10254,6.4,6.5,21.688,0.0,0.0,0.04,24.2,44221.0,30.7,-80.1,55.7,6317.0
6.55,1.008,-20.16,0.098133,6.5,6.6,21.785,0.482,0.02,0.09,24.1,44406.0,30.7,-79.3,55.9,6344.0
6.65,1.097,-20.57,0.093596,6.6,6.7,21.889,14.762,0.61,1.39,24.2,44649.0,30.8,-81.7,56.3,6378.0
6.75,0.822,-20.54,0.093998,6.7,6.8,21.984,11.327,0.47,1.11,24.1,44854.0,30.8,-79.5,56.7,6408.0
6.85,1.016,-20.25,0.09714,6.8,6.9,22.079,13.552,0.56,1.23,24.2,45041.0,30.8,-82.7,56.8,6434.0
6.95,1.069,-19.53,0.105576,6.9,7.0,22.177,9.399,0.39,0.9,24.1,45271.0,30.8,-83.9,57.2,6467.0
7.05,0.905,-19.16,0.110188,7.0,7.1,22.299,1.687,0.07,0.16,24.1,45354.0,30.8,-79.6,57.1,6479.0
7.15,1.013,-18.97,0.112631,7.1,7.2,22.397,0.241,0.01,0.1,24.1,45603.0,30.8,-78.2,57.6,6515.0
7.25,0.941,-17.91,0.127237,7.2,7.3,22.489,0.964,0.04,0.1,24.1,45808.0,30.7,-76.4,57.6,6544.0
7.35,0.972,-17.33,0.135994,7.3,7.4,22.578,0.726,0.03,0.12,24.2,45989.0,30.8,-79.1,58.0,6570.0
7.45,1.037,-16.21,0.154639,7.4,7.5,22.672,0.48,0.02,0.06,24.0,46190.0,30.8,-79.0,58.2,6599.0
7.55,1.323,-14.24,0.194086,7.5,7.6,22.799,7.744,0.32,0.76,24.2,46485.0,30.9,-81.2,58.7,6641.0
7.65,1.15,-13.87,0.202571,7.6,7.7,22.897,6.266,0.26,0.6,24.1,46690.0,30.9,-82.7,58.8,6670.0
7.75,1.006,-14.44,0.189606,7.7,7.8,22.989,8.88,0.37,0.82,24.0,46876.0,30.7,-83.7,59.2,6697.0
7.85,1.139,-14.19,0.195171,7.8,7.9,23.079,9.399,0.39,0.84,24.1,46968.0,30.9,-84.0,59.4,6710.0
7.95,1.167,-14.54,0.187419,7.9,8.0,23.188,0.729,0.03,0.11,24.3,47212.0,30.9,-85.4,59.4,6745.0
8.05,0.975,-14.98,0.178143,8.0,8.1,23.288,0.48,0.02,0.05,24.0,47400.0,30.9,-85.1,59.9,6771.0
8.15,1.197,-13.39,0.214101,8.1,8.2,23.389,19.118,0.79,1.6,24.2,47650.0,30.9,-84.3,60.3,6807.0
8.25,1.285,-12.43,0.239094,8.2,8.3,23.489,11.809,0.49,1.07,24.1,47880.0,30.9,-84.1,60.5,6840.0
8.35,1.103,-10.37,0.303079,8.3,8.4,23.578,24.926,1.03,1.97,24.2,48030.0,30.9,-84.1,60.9,6861.0
8.45,1.178,-8.69,0.367728,8.4,8.5,23.681,11.086,0.46,0.98,24.1,48293.0,30.8,-80.3,61.1,6899.0
8.55,0.97,-9.79,0.324028,8.5,8.6,23.8,4.356,0.18,0.44,24.2,48369.0,30.9,-79.1,61.1,6910.0
8.65,1.278,-9.89,0.320126,8.6,8.7,23.899,0.968,0.04,0.14,24.2,48600.0,30.9,-82.2,61.3,6943.0
8.75,1.218,-9.81,0.323363,8.7,8.8,23.984,0.0,0.0,0.03,24.1,48834.0,30.9,-83.2,61.7,6976.0
8.85,1.158,-11.16,0.276622,8.8,8.9,24.08,0.0,0.0,0.04,24.1,49017.0,30.9,-85.5,61.9,7002.0
8.95,1.086,-10.78,0.289136,8.9,9.0,24.176,0.968,0.04,0.12,24.2,49208.0,30.9,-84.3,62.1,7030.0
9.05,1.339,-10.34,0.304126,9.0,9.1,24.3,9.64,0.4,0.82,24.1,49503.0,30.9,-80.4,62.5,7072.0
9.15,1.262,-10.77,0.289283,9.1,9.2,24.39,8.505,0.35,0.77,24.3,49712.0,30.9,-79.1,62.8,7102.0
9.25,1.354,-13.68,0.20694,9.2,9.3,24.489,9.64,0.4,0.82,24.1,49907.0,31.0,-82.6,63.1,7130.0
9.35,1.236,-14.13,0.19648,9.3,9.4,24.579,11.374,0.47,0.95,24.2,49988.0,31.0,-83.7,63.3,7141.0
9.45,1.286,-15.12,0.17531,9.4,9.5,24.688,0.96,0.04,0.06,24.0,50222.0,31.0,-83.5,63.4,7175.0
9.55,1.304,-15.63,0.165411,9.5,9.6,24.779,1.44,0.06,0.14,24.0,50415.0,30.9,-85.6,63.6,7202.0
9.65,1.357,-13.55,0.210137,9.6,9.7,24.889,25.168,1.04,1.92,24.2,50650.0,30.8,-83.8,64.1,7236.0
