t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.439,-22.82,0.072282,0.0,0.1
0.15,0.486,-21.16,0.087504,0.1,0.2
0.25,0.468,-20.01,0.099899,0.2,0.3
0.35,0.522,-20.89,0.090301,0.3,0.4
0.45,0.498,-20.66,0.092657,0.4,0.5
0.55,0.574,-21.9,0.080327,0.5,0.6
0.65,0.517,-22.63,0.073888,0.6,0.7
0.75,0.619,-22.78,0.072641,0.7,0.8
0.85,0.525,-21.58,0.08338,0.8,0.9
0.95,0.471,-21.43,0.08478,0.9,1.0
1.05,0.519,-21.87,0.080594,1.0,1.1
1.15,0.547,-22.63,0.073858,1.1,1.2
1.25,0.542,-22.14,0.078153,1.2,1.3
1.35,0.56,-21.4,0.085117,1.3,1.4
1.45,0.524,-21.07,0.088451,1.4,1.5
1.55,0.452,-19.89,0.10128,1.5,1.6
1.65,0.766,-18.85,0.114098,1.6,1.7
1.75,0.781,-18.45,0.119574,1.7,1.8
1.85,0.531,-18.66,0.116681,1.8,1.9
1.95,0.601,-17.68,0.130689,1.9,2.0
2.05,0.807,-18.19,0.123151,2.0,2.1
2.15,0.532,-19.84,0.101829,2.1,2.2
2.25,0.599,-21.14,0.087671,2.2,2.3
2.35,0.584,-22.94,0.071268,2.3,2.4
2.45,0.638,-23.39,0.067693,2.4,2.5
2.55,0.65,-21.71,0.082109,2.5,2.6
2.65,0.607,-21.15,0.087566,2.6,2.7
2.75,0.649,-19.74,0.103056,2.7,2.8
2.85,0.707,-19.64,0.104246,2.8,2.9
2.95,0.874,-20.51,0.094337,2.9,3.0
3.05,0.65,-17.33,0.135966,3.0,3.1
3.15,0.549,-16.98,0.14161,3.1,3.2
3.25,0.636,-18.64,0.116982,3.2,3.3
3.35,0.664,-19.07,0.111307,3.3,3.4
3.45,0.793,-20.12,0.098678,3.4,3.5
3.55,0.628,-20.83,0.090914,3.5,3.6
3.65,0.637,-21.27,0.086421,3.6,3.7
3.75,0.688,-21.53,0.083863,3.7,3.8
3.85,0.598,-22.29,0.076785,3.8,3.9
3.95,0.691,-22.05,0.078969,3.9,4.0
4.05,0.698,-22.68,0.073468,4.0,4.1
4.15,0.714,-21.46,0.084498,4.1,4.2
4.25,0.808,-23.29,0.068472,4.2,4.3
4.35,0.779,-23.17,0.069447,4.3,4.4
4.45,0.804,-21.93,0.080121,4.4,4.5
4.55,0.885,-21.5,0.084183,4.5,4.6
4.65,0.897,-21.87,0.08065,4.6,4.7
4.75,0.775,-21.02,0.088883,4.7,4.8
4.85,0.866,-20.53,0.094077,4.8,4.9
4.95,0.798,-20.8,0.091173,4.9,5.0
5.05,0.705,-22.28,0.076877,5.0,5.1
5.15,0.706,-22.65,0.073746,5.1,5.2
5.25,1.012,-22.12,0.078336,5.2,5.3
5.35,0.82,-20.83,0.090851,5.3,5.4
5.45,0.889,-20.22,0.097495,5.4,5.5
5.55,0.809,-19.4,0.107194,5.5,5.6
5.65,0.916,-19.59,0.104879,5.6,5.7
5.75,0.762,-19.27,0.10876,5.7,5.8
5.85,1.014,-19.28,0.108625,5.8,5.9
5.95,0.787,-19.23,0.109231,5.9,6.0
6.05,1.001,-20.1,0.098809,6.0,6.1
6.15,0.989,-19.37,0.107564,6.1,6.2
6.25,1.08,-19.44,0.106651,6.2,6.3
6.35,1.022,-20.45,0.095003,6.3,6.4
6.45,0.961,-19.78,0.10254,6.4,6.5
6.55,1.008,-20.16,0.098133,6.5,6.6
6.65,1.097,-20.57,0.093596,6.6,6.7
6.75,0.822,-20.54,0.093998,6.7,6.8
6.85,1.016,-20.25,0.09714,6.8,6.9
6.95,1.069,-19.53,0.105576,6.9,7.0
7.05,0.905,-19.16,0.110188,7.0,7.1
7.15,1.013,-18.97,0.112631,7.1,7.2
7.25,0.941,-17.91,0.127237,7.2,7.3
7.35,0.972,-17.33,0.135994,7.3,7.4
7.45,1.037,-16.21,0.154639,7.4,7.5
7.55,1.323,-14.24,0.194086,7.5,7.6
7.65,1.15,-13.87,0.202571,7.6,7.7
7.75,1.006,-14.44,0.189606,7.7,7.8
7.85,1.139,-14.19,0.195171,7.8,7.9
7.95,1.167,-14.54,0.187419,7.9,8.0
8.05,0.975,-14.98,0.178143,8.0,8.1
8.15,1.197,-13.39,0.214101,8.1,8.2
8.25,1.285,-12.43,0.239094,8.2,8.3
8.35,1.103,-10.37,0.303079,8.3,8.4
8.45,1.178,-8.69,0.367728,8.4,8.5
8.55,0.97,-9.79,0.324028,8.5,8.6
8.65,1.278,-9.89,0.320126,8.6,8.7
8.75,1.218,-9.81,0.323363,8.7,8.8
8.85,1.158,-11.16,0.276622,8.8,8.9
8.95,1.086,-10.78,0.289136,8.9,9.0
9.05,1.339,-10.34,0.304126,9.0,9.1
9.15,1.262,-10.77,0.289283,9.1,9.2
9.25,1.354,-13.68,0.20694,9.2,9.3
9.35,1.236,-14.13,0.19648,9.3,9.4
9.45,1.286,-15.12,0.17531,9.4,9.5
9.55,1.304,-15.63,0.165411,9.5,9.6
9.65,1.357,-13.55,0.210137,9.6,9.7
9.75,1.245,-13.59,0.209138,9.7,9.8
