event_id,pc_time_iso,pc_elapsed_s,stm32_time_ms,force_N,raw_line
1,2026-01-10T23:05:43.438426,31.64174659922719,1272980,0.406,"Load=0.406 N, t=1272980 ms"
1,2026-01-10T23:05:43.448550,31.65187089983374,1272990,0.758,"Load=0.758 N, t=1272990 ms"
1,2026-01-10T23:05:43.458348,31.66166799981147,1273000,0.72,"Load=0.720 N, t=1273000 ms"
1,2026-01-10T23:05:43.468392,31.67171259969473,1273010,0.381,"Load=0.381 N, t=1273010 ms"
1,2026-01-10T23:05:43.478367,31.681687699630857,1273020,0.6,"Load=0.600 N, t=1273020 ms"
1,2026-01-10T23:05:43.488407,31.691728099249303,1273030,0.595,"Load=0.595 N, t=1273030 ms"
1,2026-01-10T23:05:43.498513,31.701832899823785,1273040,0.611,"Load=0.611 N, t=1273040 ms"
1,2026-01-10T23:05:43.508390,31.711710499599576,1273050,0.748,"Load=0.748 N, t=1273050 ms"
1,2026-01-10T23:05:43.518453,31.721773999743164,1273060,0.495,"Load=0.495 N, t=1273060 ms"
1,2026-01-10T23:05:43.528425,31.731745099648833,1273070,0.34,"Load=0.340 N, t=1273070 ms"
1,2026-01-10T23:05:43.538436,31.74175539985299,1273080,0.414,"Load=0.414 N, t=1273080 ms"
1,2026-01-10T23:05:43.548365,31.751685199327767,1273090,0.581,"Load=0.581 N, t=1273090 ms"
1,2026-01-10T23:05:43.558482,31.76180139929056,1273100,0.542,"Load=0.542 N, t=1273100 ms"
1,2026-01-10T23:05:43.568462,31.771782499738038,1273110,0.776,"Load=0.776 N, t=1273110 ms"
1,2026-01-10T23:05:43.578414,31.781733599491417,1273120,0.46,"Load=0.460 N, t=1273120 ms"
1,2026-01-10T23:05:43.588441,31.791761399246752,1273130,0.645,"Load=0.645 N, t=1273130 ms"
1,2026-01-10T23:05:43.598380,31.80169969983399,1273140,0.437,"Load=0.437 N, t=1273140 ms"
1,2026-01-10T23:05:43.608322,31.811641099862754,1273150,0.763,"Load=0.763 N, t=1273150 ms"
1,2026-01-10T23:05:43.618317,31.82163569983095,1273160,0.448,"Load=0.448 N, t=1273160 ms"
