t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.521,-21.11,0.088054,0.0,0.1
0.15,0.57,-19.29,0.108539,0.1,0.2
0.25,0.483,-18.48,0.119097,0.2,0.3
0.35,0.464,-20.44,0.095074,0.3,0.4
0.45,0.567,-20.11,0.09877,0.4,0.5
0.55,0.533,-19.0,0.112263,0.5,0.6
0.65,0.449,-17.91,0.1272,0.6,0.7
0.75,0.563,-17.47,0.13376,0.7,0.8
0.85,0.62,-18.68,0.116404,0.8,0.9
0.95,0.571,-17.55,0.132516,0.9,1.0
1.05,0.617,-17.67,0.130842,1.0,1.1
1.15,0.688,-17.03,0.140767,1.1,1.2
1.25,0.465,-17.44,0.134328,1.2,1.3
1.35,0.674,-18.81,0.114668,1.3,1.4
1.45,0.849,-18.1,0.124433,1.4,1.5
1.55,0.747,-17.17,0.138482,1.5,1.6
1.65,0.7,-16.53,0.149053,1.6,1.7
1.75,0.65,-15.22,0.173446,1.7,1.8
1.85,0.54,-15.97,0.158999,1.8,1.9
1.95,0.571,-17.26,0.13707,1.9,2.0
2.05,0.654,-20.45,0.09496,2.0,2.1
2.15,0.612,-20.82,0.091016,2.1,2.2
2.25,0.429,-22.14,0.07819,2.2,2.3
2.35,0.599,-22.12,0.078374,2.3,2.4
2.45,0.864,-22.62,0.074002,2.4,2.5
2.55,0.708,-20.92,0.089982,2.5,2.6
2.65,0.607,-21.0,0.089145,2.6,2.7
2.75,0.762,-21.37,0.085362,2.7,2.8
2.85,0.85,-21.03,0.088841,2.8,2.9
2.95,0.781,-20.96,0.089534,2.9,3.0
3.05,0.599,-22.17,0.077899,3.0,3.1
3.15,0.84,-22.29,0.076785,3.1,3.2
3.25,0.782,-21.18,0.087305,3.2,3.3
3.35,0.706,-21.48,0.084295,3.3,3.4
3.45,0.939,-22.06,0.078877,3.4,3.5
3.55,0.726,-21.7,0.082219,3.5,3.6
3.65,0.895,-21.18,0.087316,3.6,3.7
3.75,0.862,-22.24,0.077235,3.7,3.8
3.85,0.776,-21.31,0.086042,3.8,3.9
3.95,0.633,-19.95,0.100634,3.9,4.0
4.05,0.975,-18.52,0.118525,4.0,4.1
4.15,0.882,-18.58,0.117827,4.1,4.2
4.25,0.867,-18.36,0.120737,4.2,4.3
4.35,0.907,-18.28,0.12187,4.3,4.4
4.45,0.847,-19.56,0.105234,4.4,4.5
4.55,1.015,-20.78,0.091407,4.5,4.6
4.65,0.989,-22.01,0.07931,4.6,4.7
4.75,0.851,-22.56,0.074475,4.7,4.8
4.85,0.961,-23.22,0.068992,4.8,4.9
4.95,1.017,-21.38,0.085356,4.9,5.0
5.05,0.933,-21.01,0.08906,5.0,5.1
5.15,0.94,-19.64,0.104243,5.1,5.2
5.25,0.919,-19.25,0.108998,5.2,5.3
5.35,0.822,-20.57,0.093669,5.3,5.4
5.45,1.024,-20.23,0.097381,5.4,5.5
5.55,0.822,-19.78,0.102518,5.5,5.6
5.65,0.954,-20.59,0.093484,5.6,5.7
5.75,1.049,-20.93,0.089875,5.7,5.8
5.85,0.901,-21.54,0.0838,5.8,5.9
5.95,0.877,-21.22,0.086897,5.9,6.0
6.05,1.019,-22.24,0.077236,6.0,6.1
6.15,1.019,-21.73,0.08197,6.1,6.2
6.25,0.936,-23.1,0.069989,6.2,6.3
6.35,1.052,-22.43,0.075575,6.3,6.4
6.45,1.067,-24.31,0.060867,6.4,6.5
6.55,1.098,-23.42,0.067431,6.5,6.6
6.65,1.032,-22.76,0.072748,6.6,6.7
6.75,1.064,-22.92,0.071436,6.7,6.8
6.85,0.972,-23.36,0.067906,6.8,6.9
6.95,1.003,-23.66,0.065626,6.9,7.0
7.05,1.107,-22.41,0.07581,7.0,7.1
7.15,1.044,-22.69,0.073375,7.1,7.2
7.25,1.038,-21.46,0.084572,7.2,7.3
7.35,1.089,-21.44,0.0847,7.3,7.4
7.45,1.17,-22.99,0.070887,7.4,7.5
7.55,1.135,-22.33,0.076438,7.5,7.6
7.65,1.097,-22.42,0.075644,7.6,7.7
7.75,0.933,-22.43,0.075564,7.7,7.8
7.85,1.25,-21.81,0.081174,7.8,7.9
7.95,1.315,-21.74,0.081849,7.9,8.0
8.05,1.296,-21.13,0.087849,8.0,8.1
8.15,1.204,-20.96,0.089563,8.1,8.2
8.25,1.225,-21.27,0.086376,8.2,8.3
8.35,0.942,-21.63,0.082864,8.3,8.4
8.45,1.162,-21.51,0.084018,8.4,8.5
8.55,1.349,-21.46,0.084522,8.5,8.6
8.65,1.214,-21.7,0.082235,8.6,8.7
8.75,1.339,-21.82,0.081128,8.7,8.8
8.85,1.413,-22.05,0.078994,8.8,8.9
8.95,1.362,-21.45,0.084622,8.9,9.0
9.05,1.508,-20.69,0.092316,9.0,9.1
9.15,1.321,-21.11,0.087971,9.1,9.2
9.25,1.262,-20.91,0.090087,9.2,9.3
9.35,1.256,-20.34,0.096188,9.3,9.4
9.45,1.427,-19.18,0.109924,9.4,9.5
9.55,1.308,-19.06,0.111493,9.5,9.6
9.65,1.408,-17.36,0.135591,9.6,9.7
9.75,1.237,-16.62,0.147495,9.7,9.8
9.85,1.325,-15.12,0.175396,9.8,9.9
9.95,1.321,-14.15,0.19617,9.9,10.0
10.05,1.546,-15.07,0.176493,10.0,10.1
10.15,1.357,-15.07,0.176496,10.1,10.2
10.25,1.487,-15.19,0.173921,10.2,10.3
10.35,1.844,-14.96,0.178647,10.3,10.4
10.45,1.448,-14.02,0.198972,10.4,10.5
10.55,1.515,-13.07,0.222113,10.5,10.6
10.65,1.706,-12.5,0.237251,10.6,10.7
10.75,1.543,-11.42,0.268686,10.7,10.8
10.85,1.464,-11.69,0.260181,10.8,10.9
10.95,1.626,-12.84,0.228086,10.9,11.0
11.05,1.644,-12.26,0.24376,11.0,11.1
11.15,1.659,-10.86,0.286399,11.1,11.2
11.25,1.689,-10.48,0.299067,11.2,11.3
11.35,1.622,-9.44,0.337168,11.3,11.4
