event_id,pc_time_iso,pc_elapsed_s,stm32_time_ms,force_N,raw_line
1,2026-01-10T23:21:27.769273,27.36523380037397,20400,0.431,"Load=0.431 N, t=20400 ms"
1,2026-01-10T23:21:27.779262,27.37522429972887,20410,0.39,"Load=0.390 N, t=20410 ms"
1,2026-01-10T23:21:27.789198,27.385160599835217,20420,0.48,"Load=0.480 N, t=20420 ms"
1,2026-01-10T23:21:27.799216,27.395178699865937,20430,0.406,"Load=0.406 N, t=20430 ms"
1,2026-01-10T23:21:27.809087,27.405050000175834,20440,0.44,"Load=0.440 N, t=20440 ms"
1,2026-01-10T23:21:27.819130,27.41509270016104,20450,0.687,"Load=0.687 N, t=20450 ms"
1,2026-01-10T23:21:27.829261,27.425223300233483,20460,0.413,"Load=0.413 N, t=20460 ms"
1,2026-01-10T23:21:27.839224,27.435185300186276,20470,0.508,"Load=0.508 N, t=20470 ms"
1,2026-01-10T23:21:27.849146,27.445108899846673,20480,0.552,"Load=0.552 N, t=20480 ms"
1,2026-01-10T23:21:27.859355,27.45531710051,20490,0.347,"Load=0.347 N, t=20490 ms"
1,2026-01-10T23:21:27.869099,27.465061499737203,20500,0.44,"Load=0.440 N, t=20500 ms"
1,2026-01-10T23:21:27.879129,27.47509129997343,20510,0.51,"Load=0.510 N, t=20510 ms"
1,2026-01-10T23:21:27.889273,27.485235000029206,20520,0.431,"Load=0.431 N, t=20520 ms"
1,2026-01-10T23:21:27.899237,27.495198599994183,20530,0.493,"Load=0.493 N, t=20530 ms"
1,2026-01-10T23:21:27.909199,27.505161300301552,20540,0.511,"Load=0.511 N, t=20540 ms"
1,2026-01-10T23:21:27.919123,27.515085600316525,20550,0.541,"Load=0.541 N, t=20550 ms"
1,2026-01-10T23:21:27.929387,27.525344599969685,20560,0.537,"Load=0.537 N, t=20560 ms"
1,2026-01-10T23:21:27.939138,27.535099900327623,20570,0.657,"Load=0.657 N, t=20570 ms"
1,2026-01-10T23:21:27.949129,27.545091100037098,20580,0.445,"Load=0.445 N, t=20580 ms"
1,2026-01-10T23:21:27.959130,27.555092100054026,20590,0.585,"Load=0.585 N, t=20590 ms"
1,2026-01-10T23:21:27.969112,27.565074300393462,20600,0.898,"Load=0.898 N, t=20600 ms"
1,2026-01-10T23:21:27.979128,27.5750895999372,20610,0.649,"Load=0.649 N, t=20610 ms"
1,2026-01-10T23:21:27.989142,27.58510319981724,20620,0.443,"Load=0.443 N, t=20620 ms"
1,2026-01-10T23:21:27.999143,27.595105100423098,20630,0.58,"Load=0.580 N, t=20630 ms"
1,2026-01-10T23:21:28.009162,27.60512419976294,20640,0.528,"Load=0.528 N, t=20640 ms"
1,2026-01-10T23:21:28.009162,27.60512419976294,20640,0.528,"Load=0.528 N, t=20640 ms"
1,2026-01-10T23:21:28.019161,27.6151219997555,20650,0.619,"Load=0.619 N, t=20650 ms"
1,2026-01-10T23:21:28.029116,27.625078300014138,20660,0.515,"Load=0.515 N, t=20660 ms"
1,2026-01-10T23:21:28.039228,27.635189699940383,20670,0.491,"Load=0.491 N, t=20670 ms"
1,2026-01-10T23:21:28.049203,27.645165299996734,20680,0.449,"Load=0.449 N, t=20680 ms"
1,2026-01-10T23:21:28.059162,27.65512380003929,20690,0.386,"Load=0.386 N, t=20690 ms"
1,2026-01-10T23:21:28.069208,27.665169900283217,20700,0.51,"Load=0.510 N, t=20700 ms"
1,2026-01-10T23:21:28.079140,27.6751017998904,20710,0.484,"Load=0.484 N, t=20710 ms"
1,2026-01-10T23:21:28.089207,27.685168299824,20720,0.622,"Load=0.622 N, t=20720 ms"
1,2026-01-10T23:21:28.099055,27.695017400197685,20730,0.463,"Load=0.463 N, t=20730 ms"
1,2026-01-10T23:21:28.110237,27.706198200583458,20740,0.634,"Load=0.634 N, t=20740 ms"
1,2026-01-10T23:21:28.119178,27.715138600207865,20750,0.59,"Load=0.590 N, t=20750 ms"
1,2026-01-10T23:21:28.129245,27.72520720027387,20760,0.673,"Load=0.673 N, t=20760 ms"
1,2026-01-10T23:21:28.139156,27.735116899944842,20770,0.499,"Load=0.499 N, t=20770 ms"
1,2026-01-10T23:21:28.149148,27.745109099894762,20780,0.661,"Load=0.661 N, t=20780 ms"
1,2026-01-10T23:21:28.159179,27.755141000263393,20790,0.391,"Load=0.391 N, t=20790 ms"
1,2026-01-10T23:21:28.170062,27.76602330058813,20800,0.368,"Load=0.368 N, t=20800 ms"
1,2026-01-10T23:21:28.179177,27.775138000026345,20810,0.441,"Load=0.441 N, t=20810 ms"
1,2026-01-10T23:21:28.189162,27.785124400630593,20820,0.688,"Load=0.688 N, t=20820 ms"
1,2026-01-10T23:21:28.199152,27.795113500207663,20830,0.471,"Load=0.471 N, t=20830 ms"
1,2026-01-10T23:21:28.209121,27.805081800557673,20840,0.745,"Load=0.745 N, t=20840 ms"
1,2026-01-10T23:21:28.219150,27.81511120032519,20850,0.477,"Load=0.477 N, t=20850 ms"
1,2026-01-10T23:21:28.230035,27.825996200554073,20860,0.426,"Load=0.426 N, t=20860 ms"
1,2026-01-10T23:21:28.240023,27.835983900353312,20870,0.7,"Load=0.700 N, t=20870 ms"
