t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.482,-20.86,0.090579,0.0,0.1
0.15,0.497,-19.9,0.101137,0.1,0.2
0.25,0.482,-22.2,0.077606,0.2,0.3
0.35,0.536,-22.6,0.074149,0.3,0.4
0.45,0.548,-21.68,0.08239,0.4,0.5
0.55,0.78,-19.99,0.100115,0.5,0.6
0.65,0.52,-21.3,0.08606,0.6,0.7
0.75,0.63,-21.24,0.086715,0.7,0.8
0.85,0.771,-21.61,0.083127,0.8,0.9
0.95,0.625,-22.73,0.072998,0.9,1.0
1.05,0.512,-23.66,0.065639,1.0,1.1
1.15,0.569,-21.39,0.085169,1.1,1.2
1.25,0.589,-21.69,0.082365,1.2,1.3
1.35,0.51,-22.43,0.075635,1.3,1.4
1.45,0.746,-21.5,0.084184,1.4,1.5
1.55,0.506,-21.87,0.080646,1.5,1.6
1.65,0.53,-21.7,0.082251,1.6,1.7
1.75,0.576,-21.76,0.081616,1.7,1.8
1.85,0.658,-19.87,0.101531,1.8,1.9
1.95,0.646,-18.54,0.118328,1.9,2.0
2.05,0.565,-18.62,0.117281,2.0,2.1
2.15,0.697,-19.03,0.111825,2.1,2.2
2.25,0.668,-18.29,0.121712,2.2,2.3
2.35,0.566,-18.02,0.125606,2.3,2.4
2.45,0.717,-20.56,0.09371,2.4,2.5
2.55,0.617,-21.09,0.08818,2.5,2.6
2.65,0.585,-21.69,0.082312,2.6,2.7
2.75,0.622,-22.81,0.072357,2.7,2.8
2.85,0.677,-22.81,0.072371,2.8,2.9
2.95,0.579,-19.96,0.100422,2.9,3.0
3.05,0.878,-18.67,0.116529,3.0,3.1
3.15,0.773,-18.29,0.121698,3.1,3.2
3.25,0.717,-18.25,0.122378,3.2,3.3
3.35,0.691,-18.17,0.123427,3.3,3.4
3.45,0.761,-16.2,0.154816,3.4,3.5
3.55,0.599,-18.17,0.123517,3.5,3.6
3.65,0.814,-19.73,0.103206,3.6,3.7
3.75,0.547,-21.1,0.08815,3.7,3.8
3.85,0.595,-21.75,0.081792,3.8,3.9
3.95,0.809,-21.51,0.084033,3.9,4.0
4.05,0.728,-22.06,0.078925,4.0,4.1
4.15,0.759,-23.02,0.070617,4.1,4.2
4.25,0.953,-23.72,0.065128,4.2,4.3
4.35,1.011,-24.1,0.062346,4.3,4.4
4.45,0.725,-23.85,0.064191,4.4,4.5
4.55,0.788,-23.76,0.064893,4.5,4.6
4.65,0.822,-24.09,0.062476,4.6,4.7
4.75,0.821,-24.51,0.059474,4.7,4.8
4.85,0.811,-24.12,0.062258,4.8,4.9
4.95,0.638,-23.79,0.064653,4.9,5.0
5.05,0.82,-22.83,0.072155,5.0,5.1
5.15,0.884,-20.97,0.089432,5.1,5.2
5.25,0.804,-21.07,0.088359,5.2,5.3
5.35,0.881,-21.5,0.084149,5.3,5.4
5.45,1.188,-22.79,0.072566,5.4,5.5
5.55,0.856,-23.03,0.070574,5.5,5.6
5.65,0.85,-21.93,0.080037,5.6,5.7
5.75,1.074,-21.56,0.08356,5.7,5.8
5.85,0.79,-21.07,0.088379,5.8,5.9
5.95,0.891,-20.73,0.091959,5.9,6.0
6.05,0.956,-20.65,0.092791,6.0,6.1
6.15,0.921,-21.14,0.087737,6.1,6.2
6.25,0.895,-21.05,0.088664,6.2,6.3
6.35,0.87,-20.34,0.096174,6.3,6.4
6.45,0.934,-20.37,0.095837,6.4,6.5
6.55,1.152,-20.19,0.09784,6.5,6.6
6.65,1.128,-21.26,0.086529,6.6,6.7
6.75,0.968,-21.53,0.083869,6.7,6.8
6.85,1.216,-20.76,0.091619,6.8,6.9
6.95,1.02,-20.65,0.092769,6.9,7.0
7.05,0.95,-20.19,0.097881,7.0,7.1
7.15,0.837,-19.94,0.10074,7.1,7.2
7.25,0.987,-19.58,0.105,7.2,7.3
7.35,1.06,-19.67,0.103876,7.3,7.4
7.45,1.077,-19.0,0.112225,7.4,7.5
7.55,1.02,-18.29,0.121819,7.5,7.6
7.65,1.122,-15.63,0.165466,7.6,7.7
7.75,0.969,-15.22,0.173399,7.7,7.8
7.85,1.038,-14.78,0.182347,7.8,7.9
7.95,0.981,-14.29,0.192995,7.9,8.0
8.05,1.044,-15.21,0.173599,8.0,8.1
8.15,1.048,-15.47,0.168415,8.1,8.2
8.25,1.082,-15.06,0.176676,8.2,8.3
8.35,1.042,-14.63,0.185637,8.3,8.4
8.45,1.091,-14.03,0.198781,8.4,8.5
8.55,1.087,-12.84,0.228058,8.5,8.6
8.65,1.096,-10.12,0.311794,8.6,8.7
8.75,1.251,-8.35,0.382343,8.7,8.8
8.85,1.181,-9.43,0.337483,8.8,8.9
8.95,1.023,-10.61,0.294634,8.9,9.0
9.05,1.166,-10.16,0.31055,9.0,9.1
9.15,1.21,-11.26,0.27357,9.1,9.2
9.25,1.284,-11.68,0.260473,9.2,9.3
9.35,1.188,-10.71,0.291274,9.3,9.4
9.45,1.247,-10.79,0.288757,9.4,9.5
9.55,1.245,-12.74,0.230692,9.5,9.6
9.65,1.216,-15.1,0.175795,9.6,9.7
9.75,1.058,-15.27,0.172294,9.7,9.8
9.85,1.34,-15.38,0.170143,9.8,9.9
9.95,1.285,-15.01,0.177601,9.9,10.0
10.05,1.343,-13.87,0.202547,10.0,10.1
10.15,1.418,-13.99,0.199788,10.1,10.2
10.25,1.246,-14.85,0.180893,10.2,10.3
10.35,1.45,-13.87,0.202456,10.3,10.4
10.45,1.4,-12.67,0.232585,10.4,10.5
10.55,1.377,-12.4,0.239938,10.5,10.6
10.65,1.364,-13.11,0.221006,10.6,10.7
10.75,1.114,-12.51,0.236991,10.7,10.8
10.85,1.104,-13.93,0.201066,10.8,10.9
10.95,1.389,-15.33,0.171202,10.9,11.0
11.05,1.496,-15.96,0.159267,11.0,11.1
11.15,1.321,-16.22,0.154465,11.1,11.2
11.25,1.382,-16.71,0.145971,11.2,11.3
11.35,1.381,-16.84,0.143827,11.3,11.4
11.45,1.432,-16.82,0.144199,11.4,11.5
11.55,1.28,-16.39,0.151598,11.5,11.6
11.65,1.843,-16.48,0.149946,11.6,11.7
11.75,1.382,-15.9,0.160366,11.7,11.8
11.85,1.612,-16.79,0.144792,11.8,11.9
11.95,1.435,-15.77,0.162712,11.9,12.0
12.05,1.649,-15.41,0.169654,12.0,12.1
12.15,1.394,-14.91,0.179716,12.1,12.2
12.25,1.572,-15.13,0.175228,12.2,12.3
12.35,1.852,-15.24,0.173016,12.3,12.4
12.45,1.496,-15.41,0.169538,12.4,12.5
12.55,1.72,-15.53,0.167336,12.5,12.6
12.65,1.708,-15.54,0.167015,12.6,12.7
12.75,1.8,-15.6,0.166038,12.7,12.8
12.85,1.451,-15.83,0.161674,12.8,12.9
12.95,1.735,-15.97,0.159031,12.9,13.0
13.05,1.572,-16.28,0.153492,13.0,13.1
13.15,1.629,-16.06,0.157488,13.1,13.2
13.25,1.615,-16.12,0.156361,13.2,13.3
13.35,1.587,-15.54,0.167144,13.3,13.4
13.45,1.703,-15.38,0.170244,13.4,13.5
13.55,1.531,-15.14,0.174978,13.5,13.6
13.65,1.68,-16.09,0.15693,13.6,13.7
13.75,1.599,-16.55,0.148765,13.7,13.8
13.85,1.674,-15.99,0.158667,13.8,13.9
13.95,1.687,-16.12,0.156248,13.9,14.0
14.05,1.793,-15.89,0.160515,14.0,14.1
14.15,1.66,-15.72,0.16374,14.1,14.2
14.25,1.746,-14.41,0.190251,14.2,14.3
14.35,1.772,-14.51,0.188138,14.3,14.4
14.45,1.731,-14.75,0.183105,14.4,14.5
14.55,1.912,-14.66,0.184941,14.5,14.6
14.65,1.703,-14.78,0.18238,14.6,14.7
14.75,1.886,-14.84,0.181205,14.7,14.8
14.85,2.084,-13.99,0.199779,14.8,14.9
14.95,1.888,-14.67,0.184662,14.9,15.0
15.05,1.743,-14.96,0.17855,15.0,15.1
15.15,1.914,-15.02,0.177386,15.1,15.2
15.25,1.713,-14.77,0.182672,15.2,15.3
15.35,1.787,-14.7,0.184129,15.3,15.4
15.45,1.751,-15.26,0.172513,15.4,15.5
15.55,2.042,-15.56,0.166641,15.5,15.6
15.65,1.944,-15.81,0.161961,15.6,15.7
15.75,1.985,-15.63,0.16531,15.7,15.8
15.85,1.867,-15.61,0.165708,15.8,15.9
15.95,2.013,-15.51,0.167591,15.9,16.0
16.05,1.93,-15.51,0.167767,16.0,16.1
16.15,2.001,-15.54,0.167203,16.1,16.2
16.25,2.055,-15.34,0.171027,16.2,16.3
16.35,2.153,-15.33,0.171125,16.3,16.4
16.45,2.122,-15.18,0.174104,16.4,16.5
16.55,2.102,-15.38,0.170262,16.5,16.6
16.65,2.22,-15.25,0.172876,16.6,16.7
16.75,1.878,-14.99,0.178093,16.7,16.8
16.85,1.98,-14.97,0.178535,16.8,16.9
16.95,2.077,-14.78,0.182316,16.9,17.0
17.05,2.044,-15.15,0.174686,17.0,17.1
17.15,1.892,-14.89,0.180004,17.1,17.2
17.25,2.099,-15.05,0.176708,17.2,17.3
17.35,2.177,-15.2,0.173736,17.3,17.4
17.45,2.298,-15.51,0.16778,17.4,17.5
17.55,2.202,-15.63,0.165315,17.5,17.6
17.65,2.264,-16.05,0.157535,17.6,17.7
17.75,2.256,-15.84,0.161524,17.7,17.8
17.85,2.129,-16.03,0.157872,17.8,17.9
17.95,2.355,-16.18,0.15528,17.9,18.0
18.05,2.351,-16.28,0.153447,18.0,18.1
18.15,2.075,-15.95,0.159364,18.1,18.2
18.25,2.225,-15.36,0.17061,18.2,18.3
18.35,2.218,-15.46,0.168693,18.3,18.4
18.45,2.365,-15.08,0.176161,18.4,18.5
18.55,2.433,-14.82,0.181597,18.5,18.6
18.65,2.411,-15.55,0.166989,18.6,18.7
18.75,2.332,-15.71,0.163791,18.7,18.8
18.85,2.521,-15.72,0.163769,18.8,18.9
18.95,2.366,-15.13,0.175176,18.9,19.0
19.05,2.342,-15.48,0.1682,19.0,19.1
19.15,2.462,-15.08,0.176158,19.1,19.2
19.25,2.362,-15.27,0.172446,19.2,19.3
19.35,2.25,-15.11,0.175684,19.3,19.4
19.45,2.856,-14.32,0.19231,19.4,19.5
19.55,2.716,-14.41,0.190413,19.5,19.6
19.65,2.494,-13.97,0.200273,19.6,19.7
19.75,2.418,-13.9,0.201821,19.7,19.8
19.85,2.636,-13.71,0.206241,19.8,19.9
