t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.644,-21.71,0.082106,0.0,0.1
0.15,0.512,-21.25,0.086624,0.1,0.2
0.25,0.529,-21.29,0.086207,0.2,0.3
0.35,0.562,-20.49,0.09452,0.3,0.4
0.45,0.448,-20.44,0.095091,0.4,0.5
0.55,0.52,-19.43,0.106829,0.5,0.6
0.65,0.577,-19.14,0.110425,0.6,0.7
0.75,0.668,-18.08,0.12477,0.7,0.8
0.85,0.584,-18.2,0.122972,0.8,0.9
0.95,0.526,-16.33,0.152657,0.9,1.0
1.05,0.685,-14.8,0.182023,1.0,1.1
1.15,0.738,-13.93,0.201155,1.1,1.2
1.25,0.386,-13.29,0.216475,1.2,1.3
1.35,0.397,-15.11,0.175605,1.3,1.4
1.45,0.576,-14.1,0.197343,1.4,1.5
1.55,0.586,-13.65,0.207669,1.5,1.6
1.65,0.822,-13.22,0.218221,1.6,1.7
1.75,0.833,-10.78,0.288957,1.7,1.8
1.85,0.474,-8.35,0.382488,1.8,1.9
1.95,0.519,-9.66,0.328784,1.9,2.0
2.05,0.643,-10.78,0.289001,2.0,2.1
2.15,0.598,-9.65,0.329044,2.1,2.2
2.25,0.6,-11.28,0.273018,2.2,2.3
2.35,0.564,-12.0,0.251088,2.3,2.4
2.45,0.681,-11.59,0.263405,2.4,2.5
2.55,0.645,-12.76,0.230063,2.5,2.6
2.65,0.681,-14.73,0.183404,2.6,2.7
2.75,0.631,-15.16,0.174495,2.7,2.8
2.85,0.642,-15.41,0.16958,2.8,2.9
2.95,0.655,-15.3,0.17185,2.9,3.0
3.05,0.815,-13.12,0.220805,3.0,3.1
3.15,0.644,-12.31,0.242429,3.1,3.2
3.25,0.601,-12.55,0.235785,3.2,3.3
3.35,0.696,-12.55,0.235872,3.3,3.4
3.45,0.704,-12.06,0.249601,3.4,3.5
3.55,0.721,-12.41,0.239689,3.5,3.6
3.65,0.716,-15.92,0.160017,3.6,3.7
3.75,0.593,-14.1,0.197309,3.7,3.8
3.85,0.84,-15.19,0.173999,3.8,3.9
3.95,0.827,-16.17,0.155427,3.9,4.0
4.05,0.79,-17.53,0.132885,4.0,4.1
4.15,0.795,-17.03,0.140741,4.1,4.2
4.25,0.723,-16.91,0.142689,4.2,4.3
4.35,0.809,-16.67,0.146655,4.3,4.4
4.45,0.764,-16.93,0.142354,4.4,4.5
4.55,0.8,-16.07,0.15729,4.5,4.6
4.65,0.682,-15.65,0.164968,4.6,4.7
4.75,0.697,-15.71,0.163905,4.7,4.8
4.85,1.138,-16.14,0.156006,4.8,4.9
4.95,0.734,-16.23,0.154263,4.9,5.0
5.05,0.709,-15.65,0.165039,5.0,5.1
5.15,0.819,-15.68,0.1645,5.1,5.2
5.25,0.872,-15.38,0.170302,5.2,5.3
5.35,0.737,-16.18,0.155155,5.3,5.4
5.45,0.875,-15.66,0.164874,5.4,5.5
5.55,0.925,-15.4,0.169745,5.5,5.6
5.65,0.97,-15.28,0.172136,5.6,5.7
5.75,0.944,-15.2,0.173844,5.7,5.8
5.85,0.95,-15.86,0.161005,5.8,5.9
5.95,0.905,-16.63,0.147441,5.9,6.0
6.05,0.958,-17.07,0.140147,6.0,6.1
6.15,0.879,-16.83,0.144104,6.1,6.2
6.25,0.96,-17.08,0.139935,6.2,6.3
6.35,0.877,-16.88,0.143141,6.3,6.4
6.45,0.902,-16.84,0.143799,6.4,6.5
6.55,1.085,-16.41,0.151141,6.5,6.6
6.65,0.813,-17.13,0.139081,6.6,6.7
6.75,0.925,-17.37,0.135393,6.7,6.8
6.85,0.934,-17.01,0.141077,6.8,6.9
6.95,0.975,-17.15,0.138883,6.9,7.0
7.05,0.907,-16.51,0.149416,7.0,7.1
7.15,0.862,-16.3,0.15313,7.1,7.2
7.25,0.946,-16.02,0.158151,7.2,7.3
7.35,1.029,-14.65,0.18516,7.3,7.4
7.45,0.826,-14.47,0.189013,7.4,7.5
7.55,0.943,-14.81,0.181816,7.5,7.6
7.65,1.136,-14.85,0.180922,7.6,7.7
7.75,0.978,-14.84,0.181067,7.7,7.8
7.85,1.28,-14.21,0.19469,7.8,7.9
7.95,0.843,-13.73,0.205774,7.9,8.0
8.05,1.07,-13.85,0.203018,8.0,8.1
8.15,1.152,-14.45,0.189425,8.1,8.2
8.25,0.961,-14.56,0.187176,8.2,8.3
8.35,1.15,-14.44,0.189595,8.3,8.4
8.45,1.125,-14.36,0.19144,8.4,8.5
8.55,1.04,-14.87,0.180519,8.5,8.6
8.65,1.133,-15.45,0.168943,8.6,8.7
8.75,1.303,-15.59,0.166174,8.7,8.8
8.85,1.223,-15.65,0.164928,8.8,8.9
8.95,0.972,-15.89,0.160425,8.9,9.0
9.05,1.12,-15.81,0.161952,9.0,9.1
9.15,1.163,-16.13,0.156084,9.1,9.2
9.25,1.141,-16.1,0.15663,9.2,9.3
9.35,1.314,-15.68,0.164504,9.3,9.4
9.45,1.055,-14.95,0.178848,9.4,9.5
9.55,1.301,-15.54,0.16712,9.5,9.6
9.65,1.236,-15.72,0.163617,9.6,9.7
9.75,1.218,-16.4,0.151367,9.7,9.8
9.85,1.221,-16.43,0.150775,9.8,9.9
9.95,1.061,-16.0,0.158522,9.9,10.0
10.05,1.136,-15.67,0.164554,10.0,10.1
10.15,1.137,-15.95,0.159367,10.1,10.2
10.25,1.246,-16.43,0.150854,10.2,10.3
10.35,1.308,-16.35,0.15216,10.3,10.4
10.45,1.409,-16.48,0.15003,10.4,10.5
10.55,1.292,-16.27,0.153611,10.5,10.6
10.65,1.452,-16.43,0.150796,10.6,10.7
10.75,1.418,-16.91,0.142645,10.7,10.8
10.85,1.396,-16.89,0.143129,10.8,10.9
10.95,1.342,-16.73,0.145747,10.9,11.0
11.05,1.252,-16.65,0.147059,11.0,11.1
11.15,1.487,-16.34,0.152488,11.1,11.2
11.25,1.279,-15.92,0.15999,11.2,11.3
11.35,1.295,-15.68,0.164527,11.3,11.4
11.45,1.209,-15.57,0.166447,11.4,11.5
11.55,1.391,-15.31,0.171527,11.5,11.6
11.65,1.538,-15.62,0.165523,11.6,11.7
11.75,1.415,-15.69,0.164273,11.7,11.8
11.85,1.5,-15.72,0.163598,11.8,11.9
11.95,1.47,-16.07,0.157226,11.9,12.0
12.05,1.575,-15.96,0.159253,12.0,12.1
12.15,1.615,-15.81,0.161925,12.1,12.2
12.25,1.189,-15.66,0.164776,12.2,12.3
12.35,1.645,-15.4,0.169731,12.3,12.4
12.45,1.283,-15.35,0.170721,12.4,12.5
12.55,1.374,-15.04,0.176945,12.5,12.6
12.65,1.374,-14.56,0.187083,12.6,12.7
12.75,1.499,-14.59,0.186387,12.7,12.8
12.85,1.647,-14.53,0.187708,12.8,12.9
12.95,1.238,-14.39,0.190709,12.9,13.0
13.05,1.495,-14.49,0.188602,13.0,13.1
13.15,1.544,-14.39,0.190757,13.1,13.2
13.25,1.529,-14.75,0.182964,13.2,13.3
13.35,1.78,-14.94,0.179032,13.3,13.4
13.45,1.872,-15.21,0.173617,13.4,13.5
13.55,1.783,-14.83,0.181337,13.5,13.6
13.65,1.586,-14.77,0.182637,13.6,13.7
13.75,1.557,-14.37,0.19119,13.7,13.8
13.85,1.579,-14.05,0.198272,13.8,13.9
13.95,1.645,-14.0,0.199639,13.9,14.0
14.05,1.859,-13.66,0.207421,14.0,14.1
14.15,1.556,-13.54,0.21036,14.1,14.2
14.25,1.442,-13.29,0.216588,14.2,14.3
14.35,1.76,-13.44,0.212827,14.3,14.4
14.45,1.628,-13.52,0.210901,14.4,14.5
14.55,1.862,-13.63,0.208234,14.5,14.6
14.65,1.586,-13.8,0.204114,14.6,14.7
14.75,1.948,-13.76,0.205206,14.7,14.8
14.85,1.578,-13.64,0.208003,14.8,14.9
14.95,1.833,-13.51,0.211213,14.9,15.0
15.05,1.986,-13.57,0.209594,15.0,15.1
15.15,1.549,-13.39,0.214138,15.1,15.2
15.25,1.801,-13.48,0.2119,15.2,15.3
15.35,1.414,-13.47,0.212122,15.3,15.4
15.45,1.946,-13.47,0.21209,15.4,15.5
15.55,1.687,-13.46,0.212262,15.5,15.6
15.65,1.548,-13.22,0.218325,15.6,15.7
15.75,2.07,-13.3,0.216363,15.7,15.8
15.85,1.418,-12.91,0.226258,15.8,15.9
15.95,2.22,-13.09,0.221514,15.9,16.0
16.05,1.566,-13.26,0.217216,16.0,16.1
16.15,1.792,-13.24,0.217713,16.1,16.2
16.25,1.726,-13.31,0.215998,16.2,16.3
16.35,1.63,-13.24,0.217878,16.3,16.4
16.45,1.939,-13.3,0.216332,16.4,16.5
16.55,1.449,-12.97,0.22476,16.5,16.6
16.65,2.026,-13.12,0.220899,16.6,16.7
16.75,1.569,-12.96,0.224881,16.7,16.8
16.85,1.635,-12.93,0.2256,16.8,16.9
16.95,1.853,-13.17,0.219605,16.9,17.0
17.05,1.585,-13.16,0.219861,17.0,17.1
17.15,1.914,-13.15,0.220153,17.1,17.2
17.25,1.575,-12.99,0.224254,17.2,17.3
17.35,1.548,-13.16,0.219744,17.3,17.4
17.45,1.87,-13.12,0.220915,17.4,17.5
17.55,1.279,-13.28,0.216825,17.5,17.6
17.65,2.089,-12.84,0.228042,17.6,17.7
17.75,1.463,-12.96,0.224995,17.7,17.8
17.85,1.89,-13.17,0.219541,17.8,17.9
17.95,1.686,-13.16,0.219836,17.9,18.0
18.05,1.63,-13.02,0.223293,18.0,18.1
18.15,1.853,-13.02,0.223434,18.1,18.2
18.25,1.477,-13.05,0.222554,18.2,18.3
18.35,1.743,-13.16,0.219813,18.3,18.4
18.45,1.851,-13.14,0.22033,18.4,18.5
18.55,1.476,-12.86,0.227489,18.5,18.6
18.65,1.99,-13.02,0.22339,18.6,18.7
18.75,1.436,-13.05,0.222634,18.7,18.8
18.85,1.911,-13.03,0.223197,18.8,18.9
18.95,1.613,-13.06,0.222252,18.9,19.0
19.05,1.453,-12.93,0.22566,19.0,19.1
19.15,1.914,-12.94,0.225326,19.1,19.2
19.25,1.417,-12.92,0.225962,19.2,19.3
